,PPZFA,PPZFA,PPZFA,PRICE,Rate,PPZFA,PRICE,PPZFA,PRICE
,mean,median,count,sum,mean,MA3,MA3,MA6,MA6
DATE,,,,,,,,,
2020-04-30,356.14,335.0,7,157534811,0.25,274.45666666666665,231448014.33333334,254.26333333333332,346210013.0
2020-05-31,304.29,304.0,7,30220000,0.25,284.04333333333335,130605853.66666667,270.3616666666667,240545462.0
2020-06-30,343.33,169.0,6,169950000,0.25,334.58666666666664,119234937.0,281.5133333333333,173546249.33333334
2020-07-31,243.73,146.0,15,171305000,0.25,297.1166666666666,123825000.0,285.7866666666667,177636507.16666666
2020-08-31,140.56,118.0,16,212891000,0.25,242.54,184715333.33333334,263.2916666666667,157660593.5
2020-09-30,124.58,114.0,12,115449000,0.25,169.62333333333333,166548333.33333334,252.10500000000002,142891635.16666666
2020-10-31,225.59,226.0,17,79598999,0.25,163.57666666666665,135979666.33333334,230.34666666666666,129902333.16666667
2020-11-30,165.15,139.0,13,118742100,0.25,171.7733333333333,104596699.66666667,207.15666666666667,144656016.5
2020-12-31,172.33,155.5,18,198523716,0.25,187.68999999999997,132288271.66666667,178.65666666666667,149418302.5
2021-01-31,172.5,163.0,14,120438000,0.25,169.99333333333334,145901272.0,166.785,140940469.16666666
2021-02-28,212.14,231.0,14,51610212,0.25,185.65666666666667,123523976.0,178.715,114060337.83333333
2021-03-31,183.5,144.0,26,189767408,0.25,189.38,120605206.66666667,188.535,126446739.16666667
2021-04-30,176.2,121.0,15,93432218,0.25,190.61333333333332,111603279.33333333,180.3033333333333,128752275.66666667
2021-05-31,172.62,156.5,16,179588396,0.25,177.43999999999997,154262674.0,181.54833333333332,138893325.0
2021-06-30,226.63,228.0,19,120490700,0.25,191.8166666666667,131170438.0,190.59833333333333,125887822.33333333
2021-07-31,198.12,178.0,17,73718875,0.25,199.12333333333333,124599323.66666667,194.86833333333334,118101301.5
2021-08-31,257.89,278.0,9,91856500,0.25,227.54666666666665,95355358.33333333,202.49333333333334,124809016.16666667
2021-09-30,207.08,188.0,13,163373729,0.25,221.03,109649701.33333333,206.42333333333332,120410069.66666667
2021-10-31,195.38,166.5,16,297710000,0.25,220.11666666666667,184313409.66666666,209.62,154456366.66666666
2021-11-30,200.76,145.0,29,468726000,0.25,201.07333333333335,309936576.3333333,214.31000000000003,202645967.33333334
2021-12-31,240.67,236.5,24,349851250,0.25,212.26999999999998,372095750.0,216.64999999999998,240872725.66666666
2022-01-31,201.0,185.0,22,366958548,0.25,214.14333333333332,395178599.3333333,217.13,289746004.5
2022-02-28,223.17,200.0,24,193409737,0.25,221.61333333333332,303406511.6666667,211.34333333333333,306671544.0
2022-03-31,220.79,222.0,42,556169630,0.25,214.98666666666668,372179305.0,213.62833333333333,372137527.5
2022-04-30,203.47,218.0,17,171462735,0.25,215.80999999999997,307014034.0,214.97666666666666,351096316.6666667
2022-05-31,209.11,178.5,36,332490919,0.68,211.12333333333333,353374428.0,216.3683333333333,328390469.8333333
2022-06-30,221.06,220.0,18,142357079,1.04,211.21333333333334,215436911.0,213.10000000000002,293808108.0
2022-07-31,219.75,225.5,8,108304000,1.69,216.64,194383999.33333334,216.22500000000002,250699016.66666666
2022-08-31,301.47,271.0,15,268734325,2.25,247.42666666666665,173131801.33333334,229.275,263253114.66666666
2022-09-30,176.15,159.0,13,63075000,2.48,232.45666666666668,146704441.66666666,221.835,181070676.33333334
2022-10-31,251.81,222.5,16,191721167,3.0,243.14333333333335,174510164.0,229.89166666666665,184447081.66666666
2022-11-30,223.91,218.0,23,232122625,3.68,217.29,162306264.0,232.35833333333335,167719032.66666666
2022-12-31,194.38,189.0,21,151868281,4.08,223.36666666666667,191904024.33333334,227.91166666666663,169304233.0
2023-01-31,358.25,150.5,8,70722151,4.25,258.84666666666664,151571019.0,250.99499999999998,163040591.5
2023-02-28,236.38,241.0,8,70365000,4.5,263.00333333333333,97651810.66666667,240.14666666666668,129979037.33333333
2023-03-31,193.0,191.0,4,48664288,4.56,262.54333333333335,63250479.666666664,242.955,127577252.0
2023-04-30,228.25,193.0,8,172694534,4.75,219.21,97241274.0,239.02833333333334,124406146.5
